Aug 19 17:24:39 smarty run.sh[925545]: 1.00.296.063 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
Aug 19 17:24:39 smarty run.sh[925545]: 1.00.296.475 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
Aug 19 17:24:42 smarty run.sh[925545]: 1.03.678.248 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.12, t =   3.28 s / 3122.09 tokens per second
Aug 19 17:24:43 smarty run.sh[925545]: 1.04.387.747 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.15, t =   3.99 s / 3082.78 tokens per second
Aug 19 17:24:44 smarty run.sh[925545]: 1.05.109.899 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.17, t =   4.71 s / 3046.24 tokens per second
Aug 19 17:24:45 smarty run.sh[925545]: 1.05.845.649 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.20, t =   5.44 s / 3011.90 tokens per second
Aug 19 17:24:45 smarty run.sh[925545]: 1.06.595.533 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.22, t =   6.19 s / 2979.12 tokens per second
Aug 19 17:24:46 smarty run.sh[925545]: 1.07.358.470 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.24, t =   6.95 s / 2947.64 tokens per second
Aug 19 17:24:47 smarty run.sh[925545]: 1.08.135.317 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.27, t =   7.72 s / 2917.37 tokens per second
Aug 19 17:24:48 smarty run.sh[925545]: 1.08.926.156 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.29, t =   8.51 s / 2887.61 tokens per second
Aug 19 17:24:49 smarty run.sh[925545]: 1.09.731.142 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.32, t =   9.31 s / 2858.75 tokens per second
Aug 19 17:24:49 smarty run.sh[925545]: 1.09.927.636 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  27126, progress = 0.32, t =   9.54 s / 2843.19 tokens per second
Aug 19 17:24:50 smarty run.sh[925545]: 1.10.817.539 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  29174, progress = 0.35, t =  10.39 s / 2806.75 tokens per second
Aug 19 17:24:50 smarty run.sh[925545]: 1.11.657.039 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  31222, progress = 0.37, t =  11.23 s / 2779.62 tokens per second
Aug 19 17:24:51 smarty run.sh[925545]: 1.12.522.341 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  33270, progress = 0.40, t =  12.09 s / 2751.07 tokens per second
Aug 19 17:24:52 smarty run.sh[925545]: 1.13.415.616 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  35318, progress = 0.42, t =  12.98 s / 2720.33 tokens per second
Aug 19 17:24:53 smarty run.sh[925545]: 1.14.337.530 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  37366, progress = 0.45, t =  13.90 s / 2688.22 tokens per second
Aug 19 17:24:54 smarty run.sh[925545]: 1.15.285.085 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  39414, progress = 0.47, t =  14.84 s / 2655.30 tokens per second
Aug 19 17:24:55 smarty run.sh[925545]: 1.16.253.248 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  41462, progress = 0.50, t =  15.81 s / 2622.60 tokens per second
Aug 19 17:24:56 smarty run.sh[925545]: 1.17.241.232 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  43510, progress = 0.52, t =  16.79 s / 2590.81 tokens per second
Aug 19 17:24:57 smarty run.sh[925545]: 1.18.247.066 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  45558, progress = 0.54, t =  17.80 s / 2559.93 tokens per second
Aug 19 17:24:58 smarty run.sh[925545]: 1.19.271.551 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  47606, progress = 0.57, t =  18.82 s / 2529.80 tokens per second
Aug 19 17:24:59 smarty run.sh[925545]: 1.20.313.801 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  49654, progress = 0.59, t =  19.86 s / 2500.48 tokens per second
Aug 19 17:25:00 smarty run.sh[925545]: 1.21.374.310 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  51702, progress = 0.62, t =  20.92 s / 2471.99 tokens per second
Aug 19 17:25:01 smarty run.sh[925545]: 1.22.453.084 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  53750, progress = 0.64, t =  21.99 s / 2444.24 tokens per second
Aug 19 17:25:02 smarty run.sh[925545]: 1.23.550.287 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  55798, progress = 0.67, t =  23.08 s / 2417.09 tokens per second
Aug 19 17:25:03 smarty run.sh[925545]: 1.24.665.168 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  57846, progress = 0.69, t =  24.20 s / 2390.62 tokens per second
Aug 19 17:25:05 smarty run.sh[925545]: 1.25.798.699 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  59894, progress = 0.72, t =  25.33 s / 2364.95 tokens per second
Aug 19 17:25:06 smarty run.sh[925545]: 1.26.948.137 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  61942, progress = 0.74, t =  26.47 s / 2339.67 tokens per second
Aug 19 17:25:07 smarty run.sh[925545]: 1.28.116.338 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  63990, progress = 0.76, t =  27.64 s / 2315.13 tokens per second
Aug 19 17:25:08 smarty run.sh[925545]: 1.29.305.515 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  66038, progress = 0.79, t =  28.83 s / 2290.94 tokens per second
Aug 19 17:25:09 smarty run.sh[925545]: 1.30.514.692 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  68086, progress = 0.81, t =  30.03 s / 2267.21 tokens per second
Aug 19 17:25:11 smarty run.sh[925545]: 1.31.741.209 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  70134, progress = 0.84, t =  31.26 s / 2243.91 tokens per second
Aug 19 17:25:12 smarty run.sh[925545]: 1.32.985.905 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  72182, progress = 0.86, t =  32.50 s / 2221.19 tokens per second
Aug 19 17:25:13 smarty run.sh[925545]: 1.34.250.170 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  74230, progress = 0.89, t =  33.76 s / 2198.83 tokens per second
Aug 19 17:25:14 smarty run.sh[925545]: 1.35.531.828 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  76278, progress = 0.91, t =  35.04 s / 2177.05 tokens per second
Aug 19 17:25:16 smarty run.sh[925545]: 1.36.833.371 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  78326, progress = 0.94, t =  36.34 s / 2155.64 tokens per second
