0.00.314.467 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.405.354 I srv    load_model: loading model 'unsloth/Qwen3.8-27B-GGUF:UD-Q4_K_XL'
0.04.056.256 I cmn          init: llama threadpool init, n_threads = 32
0.04.097.006 I common_speculative_init_result: creating MTP draft context against the target model '/home/francip/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/Qwen3.8-27B-UD-Q4_K_XL.gguf'
0.04.188.739 W load_hparams: Qwen-VL models require at minimum 1024 image tokens to function correctly on grounding tasks
0.04.188.741 W load_hparams: if you encounter problems with accuracy, try adding --image-min-tokens 1024
0.04.188.741 W load_hparams: more info: https://github.com/ggml-org/llama.cpp/issues/16842

0.04.383.432 I srv    load_model: loaded multimodal model, '/home/francip/.cache/huggingface/hub/models--unsloth--Qwen3.8-27B-GGUF/snapshots/f1bfb127c64f7072bdd2cad55f258b9c8b2910fe/mmproj-BF16.gguf'
0.04.414.924 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 262144, kv_unified = 'false'
0.04.489.625 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.04.489.632 I srv  llama_server: model loaded
0.04.489.633 I srv  llama_server: listening on http://0.0.0.0:2053
0.55.676.801 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.55.677.213 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.59.074.168 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.09, t =   3.29 s / 3108.04 tokens per second
0.59.785.426 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.11, t =   4.00 s / 3068.69 tokens per second
1.00.511.123 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.13, t =   4.73 s / 3032.62 tokens per second
1.01.250.167 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.15, t =   5.46 s / 2998.64 tokens per second
1.02.004.246 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.16, t =   6.22 s / 2965.50 tokens per second
1.02.771.786 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.18, t =   6.98 s / 2933.67 tokens per second
1.03.553.490 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.20, t =   7.76 s / 2902.99 tokens per second
1.04.349.620 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24576, progress = 0.22, t =   8.55 s / 2873.17 tokens per second
1.05.161.307 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26624, progress = 0.24, t =   9.36 s / 2843.87 tokens per second
