Aug 19 18:00:15 smarty run.sh[942818]: 2.25.728.640 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
Aug 19 18:00:15 smarty run.sh[942818]: 2.25.729.066 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
Aug 19 18:00:19 smarty run.sh[942818]: 2.29.091.866 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  10240, progress = 0.13, t =   3.26 s / 3140.22 tokens per second
Aug 19 18:00:19 smarty run.sh[942818]: 2.29.798.516 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  12288, progress = 0.16, t =   3.96 s / 3099.54 tokens per second
Aug 19 18:00:20 smarty run.sh[942818]: 2.30.518.221 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  14336, progress = 0.18, t =   4.68 s / 3062.02 tokens per second
Aug 19 18:00:21 smarty run.sh[942818]: 2.31.251.320 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  16384, progress = 0.21, t =   5.41 s / 3026.69 tokens per second
Aug 19 18:00:21 smarty run.sh[942818]: 2.31.997.838 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  18432, progress = 0.23, t =   6.16 s / 2993.79 tokens per second
Aug 19 18:00:22 smarty run.sh[942818]: 2.32.758.186 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  20480, progress = 0.26, t =   6.91 s / 2961.88 tokens per second
Aug 19 18:00:23 smarty run.sh[942818]: 2.33.531.516 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22528, progress = 0.28, t =   7.69 s / 2931.09 tokens per second
Aug 19 18:00:23 smarty run.sh[942818]: 2.33.590.059 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  22652, progress = 0.29, t =   7.84 s / 2889.90 tokens per second
Aug 19 18:00:24 smarty run.sh[942818]: 2.34.442.121 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  24700, progress = 0.31, t =   8.59 s / 2875.12 tokens per second
Aug 19 18:00:25 smarty run.sh[942818]: 2.35.242.963 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  26748, progress = 0.34, t =   9.39 s / 2847.83 tokens per second
Aug 19 18:00:26 smarty run.sh[942818]: 2.36.060.806 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  28796, progress = 0.36, t =  10.21 s / 2821.07 tokens per second
Aug 19 18:00:26 smarty run.sh[942818]: 2.36.894.424 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  30844, progress = 0.39, t =  11.04 s / 2794.27 tokens per second
Aug 19 18:00:27 smarty run.sh[942818]: 2.37.752.367 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  32892, progress = 0.42, t =  11.89 s / 2765.90 tokens per second
Aug 19 18:00:28 smarty run.sh[942818]: 2.38.638.513 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  34940, progress = 0.44, t =  12.77 s / 2735.36 tokens per second
Aug 19 18:00:29 smarty run.sh[942818]: 2.39.550.342 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  36988, progress = 0.47, t =  13.68 s / 2703.41 tokens per second
Aug 19 18:00:30 smarty run.sh[942818]: 2.40.489.445 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  39036, progress = 0.49, t =  14.62 s / 2670.67 tokens per second
Aug 19 18:00:31 smarty run.sh[942818]: 2.41.449.778 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  41084, progress = 0.52, t =  15.57 s / 2638.01 tokens per second
Aug 19 18:00:32 smarty run.sh[942818]: 2.42.429.812 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =  43132, progress = 0.54, t =  16.55 s / 2606.05 tokens per second
